word,synonyms
shitting,"[""defecation""]"
stockbroking,"[""brokerage""]"
piquancy,"[""nip"", ""piquantness"", ""tang""]"
pulvinate,"[""pulvinated""]"
leer,"[""sneer"", ""ogle""]"
feminise,"[""feminize""]"
burnous,"[""burnoose"", ""burnouse""]"
inquisition,"[""inquest""]"
elite,"[""elect"", ""overclass""]"
master,"[""captain"", ""control"", ""maestro"", ""chief"", ""magistrate"", ""masters"", ""skipper"", ""passkey"", ""headmaster"", ""overlord"", ""victor"", ""overcome"", ""dominate"", ""original"", ""professional""]"
taichung,"[""taizhong""]"
yg,"[""yoctogram""]"
disinsectization,"[""deinsectization""]"
tiresome,"[""boring"", ""deadening""]"
toscana,"[""tuscany""]"
unremarkably,"[""commonly"", ""normally"", ""ordinarily"", ""usually""]"
lacaziosis,"[""lobomycosis""]"
papissa,"[""popess""]"
shaojiu,"[""baijiu""]"
blokeish,"[""blokey"", ""laddish""]"
dermal,"[""cutaneous"", ""cuticular"", ""dermic""]"
exhilarate,"[""beatify"", ""exalt"", ""enliven"", ""inebriate"", ""thrill""]"
clobber,"[""baste"", ""batter"", ""stuff"", ""bat"", ""tromp""]"
misconception,"[""fallacy"", ""misunderstanding""]"
plenipotent,"[""plenipotentiary""]"
wildebeest,"[""gnu""]"
lengthwise,"[""endwise"", ""lengthways""]"
sorna,"[""zurna""]"
hisself,"[""himself""]"
squirmworthy,"[""cringeworthy""]"
samely,"[""monotonous""]"
binman,"[""dustman""]"
130,"[""cxxx""]"
bridal,"[""espousal"", ""nuptial"", ""spousal""]"
durrës,"[""durazzo"", ""dyrrhachium""]"
usury,"[""oker"", ""vigorish""]"
overview,"[""synopsis""]"
contamination,"[""contaminant"", ""pollution"", ""taint""]"
ungraciousness,"[""ingratitude"", ""unkindness""]"
postgraduate,"[""graduate""]"
legate,"[""deputy""]"
volubly,"[""chattily""]"
sarsenet,"[""sarcenet""]"
murmur,"[""croak"", ""gnarl"", ""grumble"", ""mutter""]"
archaebacterium,"[""archaebacteria"", ""archaeon""]"
focussing,"[""focus""]"
gastro,"[""gastroenteritis""]"
otzovist,"[""recallist""]"
conditions,"[""weather""]"
monophrasis,"[""laconism"", ""monolexis"", ""univerbation""]"
plough,"[""carucate"", ""sull"", ""plow"", ""stitch""]"
doolally,"[""insane"", ""troppo""]"
lanternfish,"[""myctophid""]"
jewishly,"[""judaistically""]"
presentment,"[""notification"", ""presentation""]"
bendroflumethiazide,"[""bendrofluazide""]"
nomograph,"[""nomogram""]"
turfdom,"[""fiefdom"", ""territoriality""]"
disuniting,"[""interruption""]"
pharmacy,"[""chemist\u2019s"", ""dispensary"", ""drugstore"", ""pharmaceutics""]"
